"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance.mi.","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature.F.","Wind_Chill.F.","Humidity...","Pressure.in.","Visibility.mi.","Wind_Direction","Wind_Speed.mph.","Precipitation.in.","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-623473","Source2",1,"2022-05-13 08:31:39","2022-05-13 09:01:22",33.46579,-111.896187,NA,NA,0,"Crash on 87th St at Mcdowell Rd.","E McDowell Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2022-05-13 08:51:00",70,70,14,28.78,10,"ESE",6,0,"Fair","True","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-628217","Source2",1,"2022-05-04 17:25:57","2022-05-04 18:59:22",33.451271,-111.909302,NA,NA,0,"Crash on Hayden Rd at Mcclintock Dr.","E McKellips Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2022-05-04 17:51:00",90,90,6,28.58,10,"W",8,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-660134","Source2",2,"2022-04-06 06:59:45","2022-04-06 07:45:32",33.46582,-111.908867,NA,NA,0,"Crash on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2022-04-06 06:51:00",66,66,37,28.72,10,"CALM",0,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-698862","Source2",2,"2022-02-24 05:18:08","2022-02-24 05:47:30",33.4659,-111.91111,NA,NA,0,"Crash on Mcdowell Rd at 79th St.","N 79th St","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2022-02-24 04:51:00",39,36,93,28.92,10,"E",5,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-771262","Source2",2,"2021-12-20 08:35:17","2021-12-20 09:04:52",33.480209,-111.943192,NA,NA,0,"Accident on 64th St at Thomas Rd.","E Thomas Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-12-20 08:51:00",53,53,41,28.99,10,"SE",7,0,"Fair","False","False","True","False","False","False","False","False","True","False","False","True","False","Day","Day","Day","Day"
"A-782299","Source2",2,"2021-12-13 12:43:38","2021-12-13 13:13:26",33.480209,-111.943192,NA,NA,0,"Main roadway closed due to accident on Thomas Rd both ways at 64th St.","E Thomas Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-12-13 12:51:00",68,68,33,28.87,10,"VAR",3,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","True","False","False","True","False","Day","Day","Day","Day"
"A-824513","Source2",2,"2021-11-11 07:40:23","2021-11-11 08:39:56",33.465889,-111.912277,NA,NA,0,"Accident on Mcdowell Rd near 79th St.","E McDowell Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-11-11 07:51:00",62,62,43,28.89,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-896625","Source2",2,"2021-09-16 16:53:52","2021-09-16 17:39:22",33.465801,-111.917526,NA,NA,0,"Accident on Mcdowell Rd at Miller Rd.","N Miller Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-09-16 16:51:00",103,103,14,28.51,10,"N",9,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1023180","Source2",2,"2021-06-01 10:08:04","2021-06-01 10:37:47",33.465744,-111.926224,NA,NA,0,"Main roadway closed due to accident on Scottsdale Rd both ways at Mcdowell Rd.","N Scottsdale Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-06-01 09:51:00",87,87,18,28.76,10,"VAR",5,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1045781","Source2",2,"2021-05-14 08:46:03","2021-05-14 09:18:01",33.480381,-111.903008,NA,NA,0,"Accident on 83rd St at Thomas Rd.","E Thomas Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-05-14 08:51:00",80,80,13,28.71,10,"E",8,0,"Fair","False","False","True","False","False","False","False","False","False","True","False","False","False","Day","Day","Day","Day"
